Number,Beverage Name,Ingredients,Additives,Category,Amount for Diet (mL),Amount for Bulking (mL),Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
97,Coconut Water,Water 200mL,Lavender,Bulking,188mL,294mL,96,12,28,9
98,Turmeric,Water 200mL,Lavender,Diet,165mL,273mL,279,12,7,1
99,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Chia Seeds,Bulking,165mL,225mL,180,4,12,2
100,Lemon Water,"Lemon Juice 20mL, Water 180mL","Mint, Cinnamon",Diet,161mL,398mL,124,1,37,7
101,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Cocoa Powder, Cinnamon",Bulking,163mL,320mL,109,10,6,1
102,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Mint, Vanilla Extract",Bulking,121mL,302mL,225,13,6,2
103,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Cocoa Powder, Ginger",Bulking,178mL,310mL,58,12,18,3
104,Green Tea,"Green Tea Leaves 5g, Water 200mL",Ginger,Diet,148mL,368mL,251,12,17,8
105,Protein Shake,"Whey Protein 30g, Milk 200mL",Chia Seeds,Bulking,149mL,309mL,191,5,3,3
106,Protein Shake,"Whey Protein 30g, Milk 200mL",Ginger,Bulking,194mL,266mL,257,2,24,9
107,Green Tea,"Green Tea Leaves 5g, Water 200mL","Mint, Cocoa Powder",Diet,110mL,213mL,55,11,15,4
108,Black Coffee,"Coffee Beans 10g, Water 200mL",Vanilla Extract,Diet,115mL,317mL,121,16,37,0
109,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Chia Seeds,Bulking,183mL,350mL,57,10,8,8
110,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Ginger,Diet,198mL,356mL,281,0,8,4
111,Coconut Water,Water 200mL,"Rose Petals, Maple Syrup",Diet,148mL,241mL,168,9,7,1
112,Green Tea,"Green Tea Leaves 5g, Water 200mL","Cocoa Powder, Honey",Diet,183mL,395mL,264,14,31,2
113,Lemon Water,"Lemon Juice 20mL, Water 180mL","Vanilla Extract, Mint",Diet,186mL,229mL,98,0,37,4
114,Turmeric,Water 200mL,Lavender,Diet,167mL,287mL,135,5,19,3
115,Pomegranate Juice,Water 200mL,Peppermint,Diet,169mL,342mL,111,3,35,3
116,Aloe Vera,Water 200mL,Maple Syrup,Bulking,193mL,252mL,84,8,30,1
117,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Chia Seeds, Cocoa Powder",Bulking,108mL,361mL,65,7,0,5
118,Black Coffee,"Coffee Beans 10g, Water 200mL",Chia Seeds,Diet,136mL,377mL,84,4,8,8
119,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Honey, Protein Powder",Bulking,134mL,387mL,265,3,7,7
120,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Vanilla Extract, Mint",Bulking,197mL,291mL,296,0,9,8
121,Black Coffee,"Coffee Beans 10g, Water 200mL",Vanilla Extract,Diet,122mL,268mL,104,12,30,3
122,Lemon Water,"Lemon Juice 20mL, Water 180mL",Vanilla Extract,Diet,186mL,209mL,186,6,1,1
123,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Ginger, Chia Seeds",Bulking,159mL,230mL,84,10,16,2
124,Black Coffee,"Coffee Beans 10g, Water 200mL","Chia Seeds, Cocoa Powder",Diet,121mL,322mL,113,4,11,9
125,Lemon Water,"Lemon Juice 20mL, Water 180mL","Cocoa Powder, Vanilla Extract",Diet,186mL,288mL,100,13,3,7
126,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Ginger,Bulking,101mL,234mL,72,11,11,6
127,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Cocoa Powder,Bulking,177mL,322mL,272,6,33,1
128,Milkshake,"Ice Cream 50g, Milk 150mL","Protein Powder, Chia Seeds",Bulking,162mL,236mL,278,9,23,4
129,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Vanilla Extract,Diet,122mL,311mL,188,1,38,1
130,Turmeric,Water 200mL,Lavender,Bulking,115mL,316mL,91,2,20,9
131,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Ginger,Diet,131mL,376mL,250,19,22,0
132,Milkshake,"Ice Cream 50g, Milk 150mL",Cocoa Powder,Bulking,130mL,273mL,63,18,14,2
133,Black Coffee,"Coffee Beans 10g, Water 200mL","Vanilla Extract, Ginger",Diet,172mL,324mL,266,1,29,4
134,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Mint, Cocoa Powder",Bulking,163mL,236mL,55,19,21,1
135,Matcha,Water 200mL,"Maca Powder, Rose Petals",Diet,168mL,299mL,296,15,1,8
136,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Cinnamon,Bulking,191mL,235mL,252,8,11,3
137,Green Tea,"Green Tea Leaves 5g, Water 200mL","Ginger, Cinnamon",Diet,107mL,319mL,66,19,21,6
138,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Honey, Cinnamon",Diet,164mL,268mL,59,16,27,2
139,Lemon Water,"Lemon Juice 20mL, Water 180mL","Protein Powder, Vanilla Extract",Diet,105mL,383mL,265,8,23,0
140,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Ginger,Bulking,105mL,371mL,253,6,39,9
141,Milkshake,"Ice Cream 50g, Milk 150mL",Protein Powder,Bulking,160mL,398mL,290,15,5,5
142,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Protein Powder, Chia Seeds",Bulking,159mL,210mL,181,18,5,1
143,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Mint, Cocoa Powder",Diet,166mL,335mL,66,12,23,7
144,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Cocoa Powder,Bulking,169mL,226mL,205,7,8,8
145,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Honey,Bulking,122mL,313mL,207,9,32,6
146,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Chia Seeds, Cocoa Powder",Bulking,188mL,277mL,149,0,26,8
147,Milkshake,"Ice Cream 50g, Milk 150mL",Honey,Bulking,144mL,256mL,271,9,3,0
148,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Vanilla Extract, Ginger",Diet,192mL,389mL,160,18,5,4
149,Milkshake,"Ice Cream 50g, Milk 150mL",Cinnamon,Bulking,145mL,248mL,265,1,19,2
150,Lemon Water,"Lemon Juice 20mL, Water 180mL",Mint,Diet,163mL,350mL,287,19,24,5
151,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Cocoa Powder,Diet,146mL,220mL,233,6,0,5
152,Black Coffee,"Coffee Beans 10g, Water 200mL",Ginger,Diet,142mL,239mL,113,17,27,9
153,Milkshake,"Ice Cream 50g, Milk 150mL","Protein Powder, Mint",Bulking,194mL,287mL,192,16,12,6
154,Black Coffee,"Coffee Beans 10g, Water 200mL","Cinnamon, Cocoa Powder",Diet,190mL,319mL,259,9,27,7
155,Turmeric,Water 200mL,Sea Salt,Diet,143mL,384mL,83,18,27,7
156,Milkshake,"Ice Cream 50g, Milk 150mL","Protein Powder, Chia Seeds",Bulking,171mL,384mL,242,5,23,5
157,Green Tea,"Green Tea Leaves 5g, Water 200mL","Honey, Mint",Diet,135mL,284mL,277,5,3,1
158,Milkshake,"Ice Cream 50g, Milk 150mL",Honey,Bulking,174mL,397mL,81,18,22,2
159,Protein Shake,"Whey Protein 30g, Milk 200mL","Cocoa Powder, Ginger",Bulking,135mL,293mL,192,13,2,4
160,Milkshake,"Ice Cream 50g, Milk 150mL",Cinnamon,Bulking,198mL,368mL,255,10,29,3
161,Beetroot,Water 200mL,Lemon Zest,Diet,140mL,202mL,84,4,31,5
162,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Chia Seeds, Vanilla Extract",Diet,139mL,308mL,202,16,2,2
163,Matcha,Water 200mL,Basil,Diet,104mL,360mL,230,7,18,8
164,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Mint,Diet,179mL,220mL,200,18,36,1
165,Kombucha,Water 200mL,"Basil, Lemon Zest",Bulking,148mL,200mL,278,15,12,6
166,Elderberry,Water 200mL,"Peppermint, Lavender",Bulking,100mL,319mL,96,0,13,8
167,Lemon Water,"Lemon Juice 20mL, Water 180mL","Chia Seeds, Vanilla Extract",Diet,150mL,289mL,159,5,38,9
168,Turmeric,Water 200mL,"Sea Salt, Peppermint",Diet,195mL,244mL,246,14,30,1
169,Coconut Water,Water 200mL,"Basil, Peppermint",Bulking,166mL,292mL,294,16,26,0
170,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Mint,Bulking,189mL,324mL,127,16,32,8
171,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Mint,Bulking,116mL,250mL,93,1,4,7
172,Beetroot,Water 200mL,"Lemon Zest, Maple Syrup",Bulking,138mL,371mL,200,19,18,5
173,Lemon Water,"Lemon Juice 20mL, Water 180mL",Cocoa Powder,Diet,147mL,298mL,85,19,15,1
174,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Vanilla Extract,Diet,158mL,384mL,220,18,9,9
175,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Cocoa Powder, Protein Powder",Diet,144mL,213mL,65,19,27,0
176,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Vanilla Extract, Cocoa Powder",Bulking,162mL,376mL,213,8,23,2
177,Black Coffee,"Coffee Beans 10g, Water 200mL",Protein Powder,Diet,130mL,285mL,119,5,8,2
178,Black Coffee,"Coffee Beans 10g, Water 200mL","Chia Seeds, Cinnamon",Diet,185mL,203mL,195,0,34,4
179,Lemon Water,"Lemon Juice 20mL, Water 180mL","Vanilla Extract, Ginger",Diet,111mL,223mL,256,8,31,0
180,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Cocoa Powder,Bulking,126mL,338mL,55,14,24,4
181,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Mint,Bulking,115mL,207mL,239,1,31,5
182,Green Tea,"Green Tea Leaves 5g, Water 200mL","Mint, Protein Powder",Diet,182mL,226mL,120,5,39,3
183,Black Coffee,"Coffee Beans 10g, Water 200mL",Vanilla Extract,Diet,128mL,277mL,230,17,35,7
184,Milkshake,"Ice Cream 50g, Milk 150mL","Vanilla Extract, Cocoa Powder",Bulking,175mL,311mL,142,17,13,0
185,Milkshake,"Ice Cream 50g, Milk 150mL","Honey, Mint",Bulking,169mL,358mL,267,5,27,5
186,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Mint, Protein Powder",Bulking,147mL,384mL,141,9,37,5
187,Green Tea,"Green Tea Leaves 5g, Water 200mL",Vanilla Extract,Diet,161mL,384mL,282,4,32,7
188,Matcha,Water 200mL,"Maple Syrup, Lavender",Diet,140mL,340mL,71,6,23,5
189,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Chia Seeds, Protein Powder",Diet,143mL,377mL,295,16,21,7
190,Beetroot,Water 200mL,"Sea Salt, Lavender",Diet,151mL,208mL,265,1,27,0
191,Pomegranate Juice,Water 200mL,Basil,Diet,106mL,211mL,135,3,13,4
192,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Chia Seeds, Ginger",Bulking,179mL,339mL,84,10,15,8
193,Beetroot,Water 200mL,"Maple Syrup, Lemon Zest",Bulking,127mL,311mL,173,13,28,7
194,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Chia Seeds, Protein Powder",Diet,121mL,201mL,132,5,34,5
195,Lemon Water,"Lemon Juice 20mL, Water 180mL","Protein Powder, Cinnamon",Diet,147mL,241mL,100,17,7,6
196,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Ginger,Bulking,184mL,222mL,67,5,10,9
197,Green Tea,"Green Tea Leaves 5g, Water 200mL",Mint,Diet,132mL,313mL,177,7,20,6
198,Turmeric,Water 200mL,Basil,Bulking,147mL,336mL,141,1,15,6
199,Matcha,Water 200mL,"Lavender, Maple Syrup",Bulking,148mL,388mL,139,16,26,3
200,Green Tea,"Green Tea Leaves 5g, Water 200mL","Protein Powder, Mint",Diet,130mL,398mL,147,19,20,7
201,Pomegranate Juice,Water 200mL,"Lemon Zest, Peppermint",Diet,122mL,289mL,159,18,21,8
202,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Cocoa Powder, Mint",Bulking,153mL,261mL,79,12,22,1
203,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Protein Powder, Chia Seeds",Bulking,165mL,236mL,261,10,32,8
204,Matcha,Water 200mL,"Rose Petals, Maca Powder",Bulking,166mL,317mL,263,13,25,7
205,Lemon Water,"Lemon Juice 20mL, Water 180mL",Mint,Diet,165mL,227mL,125,17,27,5
206,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Ginger,Diet,144mL,270mL,120,11,7,4
207,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Mint,Bulking,107mL,220mL,142,8,22,7
208,Protein Shake,"Whey Protein 30g, Milk 200mL",Ginger,Bulking,122mL,317mL,247,11,27,6
209,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Honey, Cinnamon",Diet,192mL,283mL,236,3,5,1
210,Pomegranate Juice,Water 200mL,Lemon Zest,Bulking,111mL,380mL,273,6,34,0
211,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Honey, Mint",Diet,137mL,221mL,82,11,3,5
212,Milkshake,"Ice Cream 50g, Milk 150mL","Protein Powder, Cinnamon",Bulking,187mL,224mL,285,5,19,1
213,Protein Shake,"Whey Protein 30g, Milk 200mL",Ginger,Bulking,198mL,210mL,206,18,20,6
214,Matcha,Water 200mL,Maple Syrup,Diet,100mL,278mL,162,16,25,2
215,Lemon Water,"Lemon Juice 20mL, Water 180mL",Honey,Diet,141mL,385mL,58,10,28,7
216,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Cocoa Powder,Bulking,179mL,290mL,244,3,3,0
217,Milkshake,"Ice Cream 50g, Milk 150mL","Protein Powder, Mint",Bulking,164mL,313mL,164,12,2,2
218,Green Tea,"Green Tea Leaves 5g, Water 200mL",Honey,Diet,152mL,246mL,81,2,37,0
219,Elderberry,Water 200mL,"Lavender, Basil",Bulking,189mL,296mL,214,2,31,3
220,Black Coffee,"Coffee Beans 10g, Water 200mL","Protein Powder, Ginger",Diet,144mL,247mL,173,8,22,9
221,Green Tea,"Green Tea Leaves 5g, Water 200mL","Chia Seeds, Cocoa Powder",Diet,126mL,277mL,199,5,17,9
222,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Ginger,Diet,189mL,210mL,139,9,2,6
223,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Vanilla Extract,Bulking,190mL,376mL,272,10,15,3
224,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Vanilla Extract,Diet,197mL,252mL,182,13,38,6
