Number,Food Name,Ingredients,Spices,Food Type,Category,Amount for Diet (g/mL),Amount for Bulking (g/mL),Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
32,Maple Pecan Pie,"Tomato 77g, Spices Oregano","Cardamom, Garlic Powder",Sweet,Diet,82g/124mL,145g/231mL,252,11,77,22
33,Blueberry Muffin,"Tomato 103g, Spices Cinnamon, Black Pepper, Ginger","Cardamom, Cinnamon, Black Pepper",Sweet,Diet,82g/105mL,122g/216mL,394,19,27,12
34,Vegetable Curry,"Egg 94g, Spices Cayenne Pepper, Garlic Powder, Cumin","Black Mustard Seed, Chili Powder",Vegetable,Diet,50g/111mL,138g/264mL,311,12,72,10
35,Jalapeno Poppers,"Tomato 74g, Spices Cayenne Pepper, Paprika, Rosemary",Garlic Powder,Spicy,Diet,52g/149mL,101g/253mL,513,29,51,18
36,Vegetable Curry,"Kale 143g, Spices Ginger","Black Pepper, Cumin, Turmeric, Cinnamon",Vegetable,Diet,96g/105mL,189g/243mL,370,18,73,7
37,Chicken Soup,"Tuna 145g, Spices Turmeric, Thyme","Cumin, Paprika, Ginger, Turmeric",Savory,Diet,78g/120mL,150g/230mL,243,40,94,24
38,Hot Chicken Wings,"Almond 117g, Spices Oregano","Black Mustard Seed, Turmeric, Thyme, Oregano",Spicy,Diet,77g/132mL,136g/240mL,748,48,71,26
39,Fruit Kebabs,"Banana 97g, Spices Oregano","Cumin, Oregano, Cardamom, Cayenne Pepper",Fruit,Diet,62g/112mL,145g/209mL,650,37,49,26
40,Vanilla Custard,"Cheese 98g, Spices Oregano","Garlic Powder, Chili Powder, Paprika",Sweet,Diet,85g/109mL,155g/218mL,278,47,94,6
41,Hot Chicken Wings,"Tomato 52g, Spices Cayenne Pepper, Paprika","Chili Powder, Turmeric, Thyme",Spicy,Diet,97g/112mL,197g/244mL,283,44,23,7
42,Fried Rice,"Honey 118g, Spices Ginger","Garlic Powder, Turmeric, Ginger, Rosemary",Savory,Diet,76g/102mL,110g/269mL,291,39,80,9
43,Spicy Tacos,"Butter 88g, Spices Thyme","Cinnamon, Garlic Powder, Chili Powder, Paprika",Spicy,Diet,63g/118mL,158g/224mL,449,34,86,19
44,Grilled Salmon,"Yogurt 138g, Spices Cinnamon, Paprika","Rosemary, Cumin, Oregano",Meat,Diet,88g/144mL,141g/216mL,442,17,51,21
45,Duck Confit,"Broccoli 147g, Spices Garlic Powder","Cardamom, Oregano, Chili Powder, Hot Sauce",Meat,Diet,84g/127mL,126g/287mL,795,48,81,11
46,Fried Rice,"Banana 141g, Spices Rosemary, Paprika","Chili Powder, Cayenne Pepper, Cumin",Savory,Diet,79g/138mL,102g/253mL,399,24,56,11
47,Apple Pie,"Cheese 101g, Spices Black Mustard Seed, Turmeric, Rosemary","Paprika, Turmeric, Ginger, Thyme",Fruit,Diet,83g/146mL,151g/215mL,328,37,78,12
48,Spicy Tacos,"Orange 68g, Spices Turmeric, Black Pepper, Turmeric","Cumin, Turmeric, Hot Sauce, Cayenne Pepper",Spicy,Diet,77g/142mL,162g/299mL,550,28,45,9
49,Spicy Tacos,"Milk 120g, Spices Hot Sauce, Hot Sauce","Rosemary, Cinnamon",Spicy,Diet,96g/115mL,152g/245mL,794,12,72,11
50,Apple Pie,"Yogurt 127g, Spices Cumin, Hot Sauce","Garlic Powder, Cardamom",Fruit,Diet,56g/122mL,155g/220mL,481,35,57,11
51,Chocolate Cake,"Honey 75g, Spices Cayenne Pepper, Ginger, Paprika",Garlic Powder,Sweet,Diet,65g/132mL,199g/226mL,730,46,77,17
52,Vanilla Custard,"Orange 110g, Spices Hot Sauce, Cinnamon, Hot Sauce",Black Mustard Seed,Sweet,Diet,83g/143mL,198g/228mL,491,16,97,21
53,Jalapeno Poppers,"Wheat Flour 137g, Spices Hot Sauce","Black Mustard Seed, Thyme, Cinnamon",Spicy,Diet,75g/113mL,173g/290mL,633,35,42,29
54,Grilled Vegetables,"Carrot 117g, Spices Chili Powder, Cayenne Pepper","Rosemary, Oregano, Cumin",Vegetable,Diet,70g/136mL,118g/245mL,676,15,35,20
55,Grilled Salmon,"Garlic 93g, Spices Thyme, Hot Sauce","Rosemary, Cayenne Pepper, Cumin, Paprika",Meat,Diet,98g/122mL,189g/287mL,450,18,64,23
56,Vegetable Curry,"Butter 65g, Spices Garlic Powder, Black Mustard Seed, Hot Sauce",Hot Sauce,Vegetable,Diet,67g/149mL,178g/258mL,215,41,26,21
57,Hot Chicken Wings,"Butter 132g, Spices Oregano, Thyme",Turmeric,Spicy,Diet,70g/133mL,138g/200mL,629,13,34,21
58,Grilled Vegetables,"Oat 104g, Spices Black Pepper, Thyme","Thyme, Ginger",Vegetable,Diet,71g/119mL,130g/254mL,586,45,39,15
59,Apple Pie,"Soy 51g, Spices Rosemary, Chili Powder","Black Mustard Seed, Cardamom",Fruit,Diet,63g/123mL,172g/219mL,373,25,65,26
60,Mushroom Risotto,"Carrot 54g, Spices Cardamom, Cinnamon","Cayenne Pepper, Hot Sauce",Savory,Diet,73g/105mL,151g/253mL,559,25,82,17
61,Lamb Chops,"Broccoli 103g, Spices Turmeric, Chili Powder, Cumin","Oregano, Cayenne Pepper",Meat,Diet,69g/134mL,125g/279mL,285,23,99,9
62,Fried Rice,"Garlic 93g, Spices Turmeric, Black Pepper","Cinnamon, Black Pepper, Paprika",Savory,Diet,61g/117mL,171g/216mL,446,10,26,15
63,Roasted Carrots,"Orange 92g, Spices Black Mustard Seed, Oregano","Hot Sauce, Black Pepper",Vegetable,Diet,87g/109mL,159g/285mL,434,46,76,20
64,Roasted Carrots,"Apple 146g, Spices Cardamom, Garlic Powder, Cardamom","Turmeric, Hot Sauce",Vegetable,Diet,60g/148mL,106g/243mL,421,48,28,24
65,Apple Pie,"Onion 97g, Spices Garlic Powder","Ginger, Rosemary, Cinnamon, Hot Sauce",Fruit,Diet,56g/139mL,170g/243mL,208,46,54,23
66,Chili Con Carne,"Carrot 88g, Spices Cumin","Hot Sauce, Ginger",Spicy,Diet,97g/113mL,155g/248mL,465,18,61,27
67,Lamb Chops,"Kale 79g, Spices Rosemary, Thyme",Cinnamon,Meat,Diet,82g/100mL,158g/269mL,344,20,99,18
68,Apple Pie,"Banana 52g, Spices Black Mustard Seed","Garlic Powder, Rosemary",Fruit,Diet,93g/102mL,178g/257mL,289,5,23,19
69,Pork Ribs,"Beef Steak 124g, Spices Chili Powder, Chili Powder, Garlic Powder","Black Mustard Seed, Cinnamon, Turmeric, Hot Sauce",Meat,Diet,58g/114mL,198g/235mL,245,17,96,19
70,Beef Stew,"Honey 111g, Spices Garlic Powder, Cardamom, Cayenne Pepper","Cumin, Thyme, Chili Powder, Oregano",Savory,Diet,63g/129mL,198g/218mL,270,33,58,17
71,Fruit Salad,"Carrot 76g, Spices Rosemary, Black Mustard Seed, Cinnamon","Cinnamon, Cardamom, Rosemary",Fruit,Diet,67g/128mL,133g/228mL,504,40,28,25
72,Mushroom Risotto,"Banana 108g, Spices Paprika, Cumin","Cumin, Rosemary, Turmeric",Savory,Diet,59g/120mL,187g/234mL,779,43,65,6
73,Fruit Salad,"Tuna 84g, Spices Thyme, Oregano",Turmeric,Fruit,Diet,81g/124mL,112g/237mL,625,8,36,27
74,Fried Rice,"Garlic 57g, Spices Cinnamon, Cardamom, Rosemary","Cumin, Cinnamon, Ginger, Rosemary",Savory,Diet,65g/104mL,142g/206mL,357,45,54,19
75,Pork Ribs,"Onion 131g, Spices Chili Powder, Turmeric","Cardamom, Black Pepper, Thyme, Oregano",Meat,Diet,92g/100mL,148g/260mL,330,17,80,27
76,Fried Rice,"Almond 99g, Spices Thyme, Garlic Powder",Oregano,Savory,Diet,76g/111mL,110g/239mL,307,9,56,25
77,Chili Con Carne,"Banana 101g, Spices Oregano, Black Mustard Seed","Hot Sauce, Cayenne Pepper, Cinnamon",Spicy,Diet,54g/144mL,188g/229mL,760,11,57,9
78,Chicken Soup,"Banana 58g, Spices Cinnamon, Cardamom","Garlic Powder, Paprika, Cardamom",Savory,Diet,74g/102mL,158g/286mL,508,27,40,14
79,Chicken Soup,"Onion 75g, Spices Rosemary, Ginger, Garlic Powder",Rosemary,Savory,Diet,95g/117mL,100g/279mL,203,36,23,8
80,Chicken Soup,"Beef Steak 87g, Spices Chili Powder, Black Pepper, Garlic Powder",Chili Powder,Savory,Diet,53g/130mL,174g/259mL,328,47,74,17
81,Stir Fried Greens,"Tuna 79g, Spices Cumin, Hot Sauce","Rosemary, Garlic Powder, Oregano, Cumin",Vegetable,Diet,52g/136mL,138g/226mL,698,42,42,25
82,Blueberry Muffin,"Apple 140g, Spices Turmeric","Cinnamon, Garlic Powder, Oregano",Sweet,Diet,83g/127mL,198g/295mL,695,47,34,20
83,Hot Chicken Wings,"Honey 66g, Spices Paprika","Turmeric, Cumin, Garlic Powder",Spicy,Diet,91g/130mL,148g/298mL,287,6,23,9
84,Roast Chicken,"Banana 84g, Spices Cayenne Pepper, Turmeric, Turmeric",Paprika,Meat,Diet,63g/141mL,101g/290mL,443,40,24,19
85,Vegetable Curry,"Butter 124g, Spices Oregano, Cinnamon, Black Pepper",Chili Powder,Vegetable,Diet,96g/107mL,177g/296mL,781,12,53,15
86,Roast Chicken,"Chicken Breast 100g, Spices Cumin","Oregano, Garlic Powder, Cayenne Pepper",Meat,Diet,70g/113mL,125g/226mL,264,36,75,20
87,Beef Stew,"Banana 136g, Spices Chili Powder","Oregano, Paprika",Savory,Diet,83g/141mL,193g/262mL,687,12,87,24
88,Fruit Salad,"Egg 116g, Spices Ginger, Turmeric, Thyme","Cardamom, Chili Powder, Thyme",Fruit,Diet,82g/107mL,132g/221mL,593,17,29,22
89,Fruit Salad,"Egg 107g, Spices Rosemary","Chili Powder, Rosemary",Fruit,Diet,93g/105mL,172g/213mL,619,22,37,26
90,Salad Bowl,"Chicken Breast 127g, Spices Cumin, Thyme, Rosemary","Ginger, Cardamom, Hot Sauce",Vegetable,Diet,82g/140mL,151g/296mL,268,18,98,29
91,Pork Ribs,"Milk 138g, Spices Cayenne Pepper, Black Mustard Seed","Rosemary, Oregano, Cayenne Pepper",Meat,Diet,82g/130mL,145g/286mL,459,12,25,22
92,Hot Chicken Wings,"Chicken Breast 105g, Spices Turmeric, Oregano",Paprika,Spicy,Diet,92g/104mL,139g/274mL,619,23,23,11
93,Lamb Chops,"Beef Steak 142g, Spices Cinnamon","Garlic Powder, Cinnamon, Cardamom",Meat,Diet,52g/126mL,105g/270mL,693,6,24,16
94,Fruit Kebabs,"Butter 142g, Spices Chili Powder, Paprika, Garlic Powder",Thyme,Fruit,Diet,91g/108mL,190g/260mL,799,18,65,19
95,Fruit Kebabs,"Tomato 131g, Spices Cinnamon","Black Mustard Seed, Turmeric",Fruit,Diet,81g/149mL,132g/215mL,490,44,33,28
96,Spicy Tacos,"Milk 91g, Spices Black Mustard Seed","Cayenne Pepper, Ginger, Chili Powder, Oregano",Spicy,Diet,87g/120mL,194g/289mL,643,17,34,19
97,Apple Pie,"Apple 100g, Spices Ginger, Thyme",Cumin,Fruit,Diet,57g/101mL,183g/259mL,262,6,74,14
98,Stir Fried Greens,"Yogurt 107g, Spices Oregano, Paprika","Black Pepper, Chili Powder, Ginger",Vegetable,Diet,66g/139mL,160g/221mL,334,25,33,22
99,Vanilla Custard,"Garlic 80g, Spices Turmeric, Cardamom, Cardamom","Oregano, Rosemary, Cinnamon",Sweet,Diet,73g/134mL,199g/291mL,296,26,98,5
100,Szechuan Noodles,"Oat 84g, Spices Cayenne Pepper",Oregano,Spicy,Diet,59g/144mL,153g/294mL,614,17,53,9
101,Chocolate Cake,"Kale 148g, Spices Oregano, Turmeric","Thyme, Cumin, Chili Powder",Sweet,Diet,80g/111mL,128g/296mL,548,16,58,21
102,Salad Bowl,"Wheat Flour 97g, Spices Cumin, Cumin, Hot Sauce",Hot Sauce,Vegetable,Diet,63g/138mL,118g/291mL,746,20,45,11
103,Vanilla Custard,"Almond 137g, Spices Rosemary",Cardamom,Sweet,Diet,70g/129mL,109g/258mL,238,40,53,28
104,Roasted Carrots,"Onion 67g, Spices Rosemary","Black Mustard Seed, Cumin, Chili Powder",Vegetable,Diet,54g/110mL,113g/248mL,761,12,97,23
105,Hot Chicken Wings,"Chicken Breast 58g, Spices Turmeric, Cinnamon","Black Mustard Seed, Cumin, Oregano",Spicy,Diet,67g/130mL,146g/257mL,550,31,40,21
106,Spicy Tacos,"Banana 56g, Spices Hot Sauce, Thyme","Cardamom, Chili Powder",Spicy,Diet,89g/120mL,106g/282mL,714,32,45,18
107,Fried Rice,"Honey 89g, Spices Rosemary","Cardamom, Ginger, Cumin",Savory,Diet,53g/111mL,160g/240mL,595,15,41,21
108,Vegetable Curry,"Egg 140g, Spices Cumin, Cardamom, Hot Sauce","Black Mustard Seed, Black Pepper, Paprika",Vegetable,Diet,63g/129mL,147g/205mL,630,14,33,18
109,Lamb Chops,"Tomato 102g, Spices Chili Powder","Garlic Powder, Turmeric, Hot Sauce, Oregano",Meat,Diet,90g/126mL,130g/282mL,607,17,77,19
110,Pumpkin Spice Latte,"Chicken Breast 78g, Spices Black Pepper",Paprika,Sweet,Diet,51g/122mL,131g/202mL,487,28,50,15
111,Spicy Tacos,"Orange 98g, Spices Hot Sauce, Black Pepper, Oregano","Rosemary, Chili Powder, Garlic Powder",Spicy,Diet,85g/128mL,190g/210mL,378,14,38,16
112,Fruit Salad,"Beef Steak 101g, Spices Garlic Powder, Cardamom","Thyme, Chili Powder, Oregano, Cinnamon",Fruit,Diet,67g/147mL,156g/278mL,290,28,98,25
113,Fruit Kebabs,"Garlic 136g, Spices Hot Sauce, Paprika",Black Mustard Seed,Fruit,Diet,88g/109mL,107g/277mL,588,26,72,15
114,Jalapeno Poppers,"Carrot 78g, Spices Black Pepper","Turmeric, Black Mustard Seed",Spicy,Diet,91g/119mL,121g/235mL,702,34,51,24
115,Blueberry Muffin,"Onion 138g, Spices Cinnamon",Chili Powder,Sweet,Diet,88g/149mL,144g/287mL,703,9,47,24
116,Roast Chicken,"Yogurt 100g, Spices Cinnamon, Cardamom","Cayenne Pepper, Black Mustard Seed, Oregano",Meat,Diet,70g/104mL,165g/226mL,770,34,41,19
117,Beef Stew,"Tuna 91g, Spices Cinnamon, Garlic Powder, Garlic Powder",Rosemary,Savory,Diet,61g/141mL,122g/208mL,540,48,37,11
118,Apple Pie,"Salmon 84g, Spices Hot Sauce",Hot Sauce,Fruit,Diet,64g/127mL,187g/261mL,601,5,88,18
119,Roast Chicken,"Egg 126g, Spices Cumin, Oregano, Cayenne Pepper","Cayenne Pepper, Cumin, Oregano, Black Pepper",Meat,Diet,51g/116mL,125g/256mL,671,13,35,10
120,Garlic Bread,"Egg 95g, Spices Garlic Powder, Turmeric",Rosemary,Savory,Diet,83g/146mL,152g/214mL,727,37,40,9
121,Maple Pecan Pie,"Honey 61g, Spices Thyme",Paprika,Sweet,Diet,72g/134mL,139g/275mL,424,19,22,18
122,Chili Con Carne,"Carrot 78g, Spices Chili Powder, Black Mustard Seed, Ginger","Thyme, Cayenne Pepper, Oregano, Chili Powder",Spicy,Diet,93g/117mL,190g/267mL,759,19,62,6
123,Vanilla Custard,"Milk 134g, Spices Cumin, Chili Powder, Black Pepper","Turmeric, Rosemary, Cayenne Pepper, Chili Powder",Sweet,Diet,62g/114mL,182g/262mL,216,16,37,29
124,Apple Pie,"Almond 115g, Spices Turmeric, Ginger",Ginger,Fruit,Diet,83g/111mL,113g/239mL,553,26,70,19
125,Fruit Salad,"Carrot 134g, Spices Paprika, Chili Powder",Cardamom,Fruit,Diet,65g/143mL,106g/207mL,668,39,30,12
126,Duck Confit,"Milk 75g, Spices Cayenne Pepper, Paprika, Turmeric","Garlic Powder, Paprika, Black Mustard Seed",Meat,Diet,64g/126mL,117g/299mL,465,30,29,20
127,Vegetable Curry,"Tuna 54g, Spices Paprika, Turmeric, Garlic Powder",Hot Sauce,Vegetable,Diet,55g/108mL,140g/241mL,267,47,22,13
128,Hot Chicken Wings,"Cheese 70g, Spices Cardamom, Thyme, Turmeric","Paprika, Rosemary, Cinnamon, Oregano",Spicy,Diet,58g/135mL,111g/224mL,445,21,75,20
129,Pumpkin Spice Latte,"Broccoli 119g, Spices Black Mustard Seed, Paprika","Cayenne Pepper, Black Mustard Seed",Sweet,Diet,51g/120mL,146g/276mL,222,9,42,20
130,Berry Smoothie,"Garlic 79g, Spices Paprika, Ginger, Thyme","Thyme, Garlic Powder",Fruit,Diet,70g/112mL,124g/222mL,738,11,28,28
131,Apple Pie,"Yogurt 102g, Spices Oregano","Chili Powder, Cinnamon, Hot Sauce",Fruit,Diet,89g/105mL,182g/215mL,367,31,37,19
132,Grilled Vegetables,"Oat 107g, Spices Thyme","Ginger, Cinnamon, Black Pepper, Cayenne Pepper",Vegetable,Diet,58g/111mL,143g/276mL,755,17,82,5
133,Jalapeno Poppers,"Garlic 113g, Spices Rosemary, Black Mustard Seed, Garlic Powder","Rosemary, Cinnamon, Cumin",Spicy,Diet,65g/123mL,119g/294mL,657,11,73,8
134,Mushroom Risotto,"Egg 91g, Spices Cayenne Pepper, Oregano, Black Mustard Seed","Paprika, Cardamom, Turmeric",Savory,Diet,90g/109mL,107g/257mL,761,38,97,9
135,Grilled Salmon,"Almond 83g, Spices Garlic Powder, Cumin","Cinnamon, Black Pepper, Cayenne Pepper",Meat,Diet,68g/118mL,131g/273mL,515,20,59,6
136,Berry Smoothie,"Beef Steak 51g, Spices Black Mustard Seed, Black Mustard Seed","Cinnamon, Black Mustard Seed",Fruit,Diet,66g/115mL,101g/282mL,652,34,95,28
137,Apple Pie,"Tuna 125g, Spices Thyme, Cardamom","Hot Sauce, Oregano, Thyme, Garlic Powder",Fruit,Diet,53g/112mL,144g/277mL,460,30,53,7
138,Pork Ribs,"Butter 50g, Spices Cumin","Cumin, Oregano",Meat,Diet,70g/112mL,150g/258mL,463,23,94,18
139,Hot Chicken Wings,"Chicken Breast 146g, Spices Oregano, Cayenne Pepper, Chili Powder",Cardamom,Spicy,Diet,97g/108mL,171g/289mL,422,26,79,26
140,Duck Confit,"Milk 85g, Spices Cumin, Cardamom, Turmeric","Paprika, Oregano, Ginger",Meat,Diet,75g/127mL,176g/258mL,378,17,69,18
141,Fried Rice,"Banana 118g, Spices Black Pepper, Hot Sauce","Rosemary, Thyme, Turmeric, Cinnamon",Savory,Diet,70g/114mL,139g/219mL,309,21,64,7
142,Salad Bowl,"Honey 102g, Spices Ginger, Oregano","Black Mustard Seed, Turmeric, Cardamom, Thyme",Vegetable,Diet,53g/123mL,114g/232mL,443,11,50,21
143,Hot Chicken Wings,"Onion 58g, Spices Ginger, Cumin","Garlic Powder, Paprika",Spicy,Diet,50g/111mL,174g/246mL,616,5,89,28
144,Garlic Bread,"Salmon 57g, Spices Ginger, Rosemary, Cardamom","Hot Sauce, Thyme, Oregano",Savory,Diet,85g/140mL,179g/273mL,741,9,45,9
145,Fried Rice,"Wheat Flour 66g, Spices Cayenne Pepper, Black Mustard Seed, Turmeric","Garlic Powder, Black Pepper",Savory,Diet,52g/102mL,167g/221mL,287,43,24,7
146,Pumpkin Spice Latte,"Wheat Flour 101g, Spices Rosemary",Hot Sauce,Sweet,Diet,82g/143mL,145g/231mL,222,18,53,20
147,Stir Fried Greens,"Orange 87g, Spices Black Pepper, Cardamom","Cardamom, Hot Sauce",Vegetable,Diet,83g/114mL,157g/280mL,426,14,36,12
148,Salad Bowl,"Cheese 115g, Spices Black Mustard Seed, Garlic Powder, Ginger","Garlic Powder, Ginger, Thyme",Vegetable,Diet,99g/132mL,173g/295mL,627,46,57,20
149,Fruit Kebabs,"Orange 136g, Spices Black Pepper, Ginger, Oregano","Ginger, Cinnamon",Fruit,Diet,61g/128mL,160g/212mL,635,49,79,15
150,Mushroom Risotto,"Butter 98g, Spices Chili Powder, Garlic Powder, Cardamom","Ginger, Thyme, Cardamom, Garlic Powder",Savory,Diet,85g/136mL,120g/202mL,665,8,37,17
151,Roast Chicken,"Broccoli 147g, Spices Thyme","Hot Sauce, Turmeric, Cayenne Pepper",Meat,Diet,59g/115mL,150g/282mL,448,5,49,15
152,Grilled Salmon,"Beef Steak 85g, Spices Oregano, Thyme, Rosemary","Black Mustard Seed, Black Pepper, Cayenne Pepper",Meat,Diet,79g/108mL,195g/214mL,757,5,59,12
153,Spicy Tacos,"Butter 59g, Spices Oregano, Garlic Powder","Paprika, Oregano, Chili Powder",Spicy,Diet,94g/126mL,120g/212mL,293,31,65,10
154,Mango Sorbet,"Salmon 144g, Spices Garlic Powder","Black Pepper, Garlic Powder",Fruit,Diet,98g/106mL,191g/292mL,519,12,48,14
155,Stir Fried Greens,"Carrot 117g, Spices Oregano, Ginger","Cumin, Hot Sauce",Vegetable,Diet,97g/122mL,139g/279mL,547,16,67,5
156,Szechuan Noodles,"Carrot 120g, Spices Rosemary","Hot Sauce, Ginger, Cinnamon, Cardamom",Spicy,Diet,96g/131mL,154g/297mL,322,13,70,18
157,Berry Smoothie,"Banana 129g, Spices Black Mustard Seed","Ginger, Cardamom, Turmeric",Fruit,Diet,67g/140mL,108g/249mL,583,43,93,23
158,Szechuan Noodles,"Carrot 96g, Spices Hot Sauce, Black Pepper",Rosemary,Spicy,Diet,71g/137mL,108g/299mL,258,27,39,20
159,Chocolate Cake,"Tomato 52g, Spices Black Pepper","Ginger, Chili Powder, Black Pepper, Cinnamon",Sweet,Diet,95g/114mL,184g/201mL,443,30,64,22
160,Blueberry Muffin,"Yogurt 72g, Spices Black Mustard Seed, Oregano",Cumin,Sweet,Diet,58g/128mL,153g/291mL,256,15,21,13
161,Fried Rice,"Banana 86g, Spices Cayenne Pepper, Cinnamon, Oregano","Hot Sauce, Cardamom",Savory,Diet,76g/134mL,104g/296mL,343,35,25,23
162,Vanilla Custard,"Banana 69g, Spices Turmeric","Black Pepper, Thyme, Cayenne Pepper, Garlic Powder",Sweet,Diet,69g/110mL,155g/269mL,451,7,79,21
163,Duck Confit,"Milk 105g, Spices Garlic Powder, Hot Sauce",Garlic Powder,Meat,Diet,68g/102mL,134g/245mL,563,28,55,24
164,Spicy Tacos,"Tuna 91g, Spices Ginger, Oregano, Ginger","Cayenne Pepper, Cardamom, Oregano",Spicy,Diet,99g/125mL,182g/253mL,375,8,41,25
